labor_id,presence,present_api_flag,present_local_flag,any_field_mismatch,mismatch_field_count,service_id_api,service_id_local,mismatch__service_id,created_at_api,created_at_local,mismatch__created_at,city_code_api,city_code_local,mismatch__city_code,department_code_api,department_code_local,mismatch__department_code,start_address_id_api,start_address_id_local,mismatch__start_address_id,start_address_point_api,start_address_point_local,mismatch__start_address_point,end_address_id_api,end_address_id_local,mismatch__end_address_id,end_address_point_api,end_address_point_local,mismatch__end_address_point,labor_type_api,labor_type_local,mismatch__labor_type,labor_name_api,labor_name_local,mismatch__labor_name,labor_category_api,labor_category_local,mismatch__labor_category,schedule_date_api,schedule_date_local,mismatch__schedule_date,labor_sequence_api,labor_sequence_local,mismatch__labor_sequence,address_id_api,address_id_local,mismatch__address_id,address_point_api,address_point_local,mismatch__address_point,state_api,service_schedule_date_api,city_name_api,department_name_api,location_resolution_status_api,payload_labor_schedule_date_api,assigned_driver_api,actual_start_api,actual_end_api,shop_id_api,shop_address_id_api,shop_address_point_api,source_department_dir_api,alfred_local,shop_local,labor_created_at_local,labor_start_date_local,labor_end_date_local
504105,both,1,1,False,0,400357,400357,False,2026-02-06T08:40:37.945224-05:00,2026-02-06T08:40:37.945000-05:00,False,1,1,False,5,5,False,4852,4852,False,POINT (-75.56991479999999 6.2276503),POINT (-75.56991479999999 6.2276503),False,130163,130163,False,POINT (-75.56719989999999 6.188821),POINT (-75.56719989999999 6.188821),False,12,12,False,Alfred Initial Transport,Alfred Initial Transport,False,VEHICLE_TRANSPORTATION,VEHICLE_TRANSPORTATION,False,2026-02-19T16:00:00-05:00,2026-02-19T16:00:00-05:00,False,1,1,False,,,False,,,False,REQUESTED,2026-02-19T16:00:00-05:00,MEDELLIN,ANTIOQUIA,resolved,2026-02-19T16:00:00-05:00,5455,,,,,,5,,,2026-02-06T08:40:37.993000-05:00,,
504180,both,1,1,True,3,399422,399422,False,2026-02-04T16:12:31.297741-05:00,2026-02-04T16:12:31.297000-05:00,False,149,149,False,25,25,False,125253,125253,False,POINT (-74.1188902 4.6992568),POINT (-74.1188902 4.6992568),False,125253,125253,False,POINT (-74.1188902 4.6992568),POINT (-74.1188902 4.6992568),False,3,3,False,Wash and Polish,Wash and Polish,False,WASH_AND_POLISH,WASH_AND_POLISH,False,2026-02-06T09:00:00-05:00,2026-02-24T09:00:00-05:00,True,1,1,False,,72261.0,True,,POINT (-74.1089748 4.6597407),True,TO_BE_CONFIRMED,2026-02-24T09:00:00-05:00,BOGOTA D.C.,CUNDINAMARCA,resolved,2026-02-06T09:00:00-05:00,,,,934,72261,POINT (-74.1089748 4.6597407),25,,934.0,2026-02-06T09:25:02.339000-05:00,,
506329,both,1,1,False,0,402549,402549,False,2026-02-08T16:19:30.730313-05:00,2026-02-08T16:19:30.730000-05:00,False,1004,1004,False,76,76,False,166327,166327,False,POINT (-76.4960699 3.4665607),POINT (-76.4960699 3.4665607),False,166327,166327,False,POINT (-76.4960699 3.4665607),POINT (-76.4960699 3.4665607),False,12,12,False,Alfred Initial Transport,Alfred Initial Transport,False,VEHICLE_TRANSPORTATION,VEHICLE_TRANSPORTATION,False,2026-02-21T12:00:00-05:00,2026-02-21T12:00:00-05:00,False,1,1,False,,,False,,,False,TO_BE_CONFIRMED,2026-02-21T12:00:00-05:00,CALI,VALLE DEL CAUCA,resolved,2026-02-21T12:00:00-05:00,,,,,,,76,,,2026-02-08T16:19:30.775000-05:00,,
506330,both,1,1,True,3,402549,402549,False,2026-02-08T16:19:30.730313-05:00,2026-02-08T16:19:30.730000-05:00,False,1004,1004,False,76,76,False,166327,166327,False,POINT (-76.4960699 3.4665607),POINT (-76.4960699 3.4665607),False,166327,166327,False,POINT (-76.4960699 3.4665607),POINT (-76.4960699 3.4665607),False,3,3,False,Wash and Polish,Wash and Polish,False,WASH_AND_POLISH,WASH_AND_POLISH,False,2026-02-21T12:30:00-05:00,2026-02-21T12:00:00-05:00,True,2,2,False,,187121.0,True,,POINT (-76.499544 3.441305),True,TO_BE_CONFIRMED,2026-02-21T12:00:00-05:00,CALI,VALLE DEL CAUCA,resolved,2026-02-21T12:30:00-05:00,,,,4402,187121,POINT (-76.499544 3.441305),76,,4402.0,2026-02-08T16:19:30.821000-05:00,,
506331,both,1,1,True,1,402549,402549,False,2026-02-08T16:19:30.730313-05:00,2026-02-08T16:19:30.730000-05:00,False,1004,1004,False,76,76,False,166327,166327,False,POINT (-76.4960699 3.4665607),POINT (-76.4960699 3.4665607),False,166327,166327,False,POINT (-76.4960699 3.4665607),POINT (-76.4960699 3.4665607),False,2,2,False,Alfred Transport,Alfred Transport,False,VEHICLE_TRANSPORTATION,VEHICLE_TRANSPORTATION,False,2026-02-21T13:00:00-05:00,2026-02-21T12:00:00-05:00,True,3,3,False,,,False,,,False,TO_BE_CONFIRMED,2026-02-21T12:00:00-05:00,CALI,VALLE DEL CAUCA,resolved,2026-02-21T13:00:00-05:00,,,,,,,76,,,2026-02-08T16:19:30.861000-05:00,,
506687,both,1,1,False,0,402879,402879,False,2026-02-09T09:45:16.262918-05:00,2026-02-09T09:45:16.262000-05:00,False,1,1,False,5,5,False,96914,96914,False,POINT (-75.5689336 6.214603899999999),POINT (-75.5689336 6.214603899999999),False,4852,4852,False,POINT (-75.56991479999999 6.2276503),POINT (-75.56991479999999 6.2276503),False,12,12,False,Alfred Initial Transport,Alfred Initial Transport,False,VEHICLE_TRANSPORTATION,VEHICLE_TRANSPORTATION,False,2026-02-26T07:00:00-05:00,2026-02-26T07:00:00-05:00,False,1,1,False,,,False,,,False,REQUESTED,2026-02-26T07:00:00-05:00,MEDELLIN,ANTIOQUIA,resolved,2026-02-26T07:00:00-05:00,4555,,,,,,5,,,2026-02-09T09:45:16.313000-05:00,,
506689,both,1,1,False,0,402881,402881,False,2026-02-09T09:45:43.890920-05:00,2026-02-09T09:45:43.890000-05:00,False,1,1,False,5,5,False,4852,4852,False,POINT (-75.56991479999999 6.2276503),POINT (-75.56991479999999 6.2276503),False,96914,96914,False,POINT (-75.5689336 6.214603899999999),POINT (-75.5689336 6.214603899999999),False,12,12,False,Alfred Initial Transport,Alfred Initial Transport,False,VEHICLE_TRANSPORTATION,VEHICLE_TRANSPORTATION,False,2026-02-26T12:30:00-05:00,2026-02-26T12:30:00-05:00,False,1,1,False,,,False,,,False,REQUESTED,2026-02-26T12:30:00-05:00,MEDELLIN,ANTIOQUIA,resolved,2026-02-26T12:30:00-05:00,4555,,,,,,5,,,2026-02-09T09:45:43.938000-05:00,,
506837,both,1,1,False,0,403022,403022,False,2026-02-09T11:34:38.728729-05:00,2026-02-09T11:34:38.728000-05:00,False,149,149,False,25,25,False,186670,186670,False,POINT (-74.0527477 4.6773473),POINT (-74.0527477 4.6773473),False,120432,120432,False,POINT (-74.02471419999999 4.7281137),POINT (-74.02471419999999 4.7281137),False,12,12,False,Alfred Initial Transport,Alfred Initial Transport,False,VEHICLE_TRANSPORTATION,VEHICLE_TRANSPORTATION,False,2026-02-23T13:30:00-05:00,2026-02-23T13:30:00-05:00,False,1,1,False,,,False,,,False,TO_BE_CONFIRMED,2026-02-23T13:30:00-05:00,BOGOTA D.C.,CUNDINAMARCA,resolved,2026-02-23T13:30:00-05:00,2331,,,,,,25,,,2026-02-09T11:34:38.772000-05:00,,
507190,both,1,1,False,0,403356,403356,False,2026-02-09T15:32:23.151669-05:00,2026-02-09T15:32:23.151000-05:00,False,149,149,False,25,25,False,189083,189083,False,POINT (-74.0515964 4.6595701),POINT (-74.0515964 4.6595701),False,17793,17793,False,POINT (-74.05576889999999 4.712595600000001),POINT (-74.05576889999999 4.712595600000001),False,12,12,False,Alfred Initial Transport,Alfred Initial Transport,False,VEHICLE_TRANSPORTATION,VEHICLE_TRANSPORTATION,False,2026-02-19T07:00:00-05:00,2026-02-19T07:00:00-05:00,False,1,1,False,,,False,,,False,TO_BE_CONFIRMED,2026-02-19T07:00:00-05:00,BOGOTA D.C.,CUNDINAMARCA,resolved,2026-02-19T07:00:00-05:00,,,,,,,25,,,2026-02-09T15:32:23.214000-05:00,,
507191,both,1,1,False,0,403357,403357,False,2026-02-09T15:33:10.953819-05:00,2026-02-09T15:33:10.953000-05:00,False,149,149,False,25,25,False,17793,17793,False,POINT (-74.05576889999999 4.712595600000001),POINT (-74.05576889999999 4.712595600000001),False,189083,189083,False,POINT (-74.0515964 4.6595701),POINT (-74.0515964 4.6595701),False,12,12,False,Alfred Initial Transport,Alfred Initial Transport,False,VEHICLE_TRANSPORTATION,VEHICLE_TRANSPORTATION,False,2026-02-19T12:30:00-05:00,2026-02-19T12:30:00-05:00,False,1,1,False,,,False,,,False,TO_BE_CONFIRMED,2026-02-19T12:30:00-05:00,BOGOTA D.C.,CUNDINAMARCA,resolved,2026-02-19T12:30:00-05:00,,,,,,,25,,,2026-02-09T15:33:11.015000-05:00,,
