service_id,state,created_at,service_schedule_date,city_code,city_name,department_code,department_name,location_resolution_status,start_address_id,start_address_point,end_address_id,end_address_point,labor_id,labor_type,labor_name,labor_category,schedule_date,payload_labor_schedule_date,labor_sequence,assigned_driver,actual_start,actual_end,shop_id,address_id,address_point,shop_address_id,shop_address_point,source_department_dir
397007,TO_BE_CONFIRMED,2026-01-31 21:52:36.806281-05:00,2026-02-20T17:00:00+00:00,1004,CALI,76,VALLE DEL CAUCA,resolved,183705,POINT (-76.5215896 3.4536185),183705,POINT (-76.5215896 3.4536185),500567,12,Alfred Initial Transport,VEHICLE_TRANSPORTATION,2026-02-20 12:00:00-05:00,2026-02-20 12:00:00-05:00,1,,,,,,,,,76
397007,TO_BE_CONFIRMED,2026-01-31 21:52:36.806281-05:00,2026-02-20T17:00:00+00:00,1004,CALI,76,VALLE DEL CAUCA,resolved,183705,POINT (-76.5215896 3.4536185),183705,POINT (-76.5215896 3.4536185),500568,3,Wash and Polish,WASH_AND_POLISH,2026-02-20 12:30:00-05:00,2026-02-20 12:30:00-05:00,2,,,,3539,,,114928,POINT (-76.5313527 3.4197604),76
397007,TO_BE_CONFIRMED,2026-01-31 21:52:36.806281-05:00,2026-02-20T17:00:00+00:00,1004,CALI,76,VALLE DEL CAUCA,resolved,183705,POINT (-76.5215896 3.4536185),183705,POINT (-76.5215896 3.4536185),500569,2,Alfred Transport,VEHICLE_TRANSPORTATION,2026-02-20 13:00:00-05:00,2026-02-20 13:00:00-05:00,3,,,,,,,,,76
402549,TO_BE_CONFIRMED,2026-02-08 16:19:30.730313-05:00,2026-02-21T17:00:00+00:00,1004,CALI,76,VALLE DEL CAUCA,resolved,166327,POINT (-76.4960699 3.4665607),166327,POINT (-76.4960699 3.4665607),506329,12,Alfred Initial Transport,VEHICLE_TRANSPORTATION,2026-02-21 12:00:00-05:00,2026-02-21 12:00:00-05:00,1,,,,,,,,,76
402549,TO_BE_CONFIRMED,2026-02-08 16:19:30.730313-05:00,2026-02-21T17:00:00+00:00,1004,CALI,76,VALLE DEL CAUCA,resolved,166327,POINT (-76.4960699 3.4665607),166327,POINT (-76.4960699 3.4665607),506330,3,Wash and Polish,WASH_AND_POLISH,2026-02-21 12:30:00-05:00,2026-02-21 12:30:00-05:00,2,,,,4402,,,187121,POINT (-76.499544 3.441305),76
402549,TO_BE_CONFIRMED,2026-02-08 16:19:30.730313-05:00,2026-02-21T17:00:00+00:00,1004,CALI,76,VALLE DEL CAUCA,resolved,166327,POINT (-76.4960699 3.4665607),166327,POINT (-76.4960699 3.4665607),506331,2,Alfred Transport,VEHICLE_TRANSPORTATION,2026-02-21 13:00:00-05:00,2026-02-21 13:00:00-05:00,3,,,,,,,,,76
405263,TO_BE_CONFIRMED,2026-02-11 17:01:29.750112-05:00,2026-02-20T17:00:00+00:00,1004,CALI,76,VALLE DEL CAUCA,resolved,145591,POINT (-76.30498659999999 3.5229834),145591,POINT (-76.30498659999999 3.5229834),509205,12,Alfred Initial Transport,VEHICLE_TRANSPORTATION,2026-02-20 12:00:00-05:00,2026-02-20 12:00:00-05:00,1,,,,,,,,,76
405263,TO_BE_CONFIRMED,2026-02-11 17:01:29.750112-05:00,2026-02-20T17:00:00+00:00,1004,CALI,76,VALLE DEL CAUCA,resolved,145591,POINT (-76.30498659999999 3.5229834),145591,POINT (-76.30498659999999 3.5229834),509206,3,Wash and Polish,WASH_AND_POLISH,2026-02-20 12:30:00-05:00,2026-02-20 12:30:00-05:00,2,,,,4157,,,127839,POINT (-76.31507669999999 3.5385042),76
405263,TO_BE_CONFIRMED,2026-02-11 17:01:29.750112-05:00,2026-02-20T17:00:00+00:00,1004,CALI,76,VALLE DEL CAUCA,resolved,145591,POINT (-76.30498659999999 3.5229834),145591,POINT (-76.30498659999999 3.5229834),509207,2,Alfred Transport,VEHICLE_TRANSPORTATION,2026-02-20 13:00:00-05:00,2026-02-20 13:00:00-05:00,3,,,,,,,,,76
397322,TO_BE_CONFIRMED,2026-02-01 19:07:43.899074-05:00,2026-02-20T20:00:00+00:00,126,BARRANQUILLA,8,ATLANTICO,resolved,93748,POINT (-74.80476019999999 10.9994735),93748,POINT (-74.80476019999999 10.9994735),500894,12,Alfred Initial Transport,VEHICLE_TRANSPORTATION,2026-02-20 15:00:00-05:00,2026-02-20 15:00:00-05:00,1,,,,,,,,,8
397322,TO_BE_CONFIRMED,2026-02-01 19:07:43.899074-05:00,2026-02-20T20:00:00+00:00,126,BARRANQUILLA,8,ATLANTICO,resolved,93748,POINT (-74.80476019999999 10.9994735),93748,POINT (-74.80476019999999 10.9994735),500895,3,Wash and Polish,WASH_AND_POLISH,2026-02-20 15:30:00-05:00,2026-02-20 15:30:00-05:00,2,,,,1856,,,101855,POINT (-74.7995734 10.9959409),8
397322,TO_BE_CONFIRMED,2026-02-01 19:07:43.899074-05:00,2026-02-20T20:00:00+00:00,126,BARRANQUILLA,8,ATLANTICO,resolved,93748,POINT (-74.80476019999999 10.9994735),93748,POINT (-74.80476019999999 10.9994735),500896,2,Alfred Transport,VEHICLE_TRANSPORTATION,2026-02-20 16:00:00-05:00,2026-02-20 16:00:00-05:00,3,,,,,,,,,8
405142,REQUESTED,2026-02-11 14:36:26.001559-05:00,2026-02-19T17:00:00+00:00,126,BARRANQUILLA,8,ATLANTICO,resolved,134073,POINT (-74.8076452 10.9991865),68237,POINT (-74.7997145 11.0215868),509076,12,Alfred Initial Transport,VEHICLE_TRANSPORTATION,2026-02-19 12:00:00-05:00,2026-02-19 12:00:00-05:00,1,71852,,,,,,,,8
