city,labor_type,n_shops,mean_min,median_min,std_min,p75_min,p85_min,p90_min
1,162.0,2,0.3333333333333333,0.0,0.5773502691896258,0.5,0.7,0.8
1,164.0,1,7.0,7.0,,7.0,7.0,7.0
1,166.0,1,48.0,48.0,,48.0,48.0,48.0
1,173.0,3,313.7888888888889,332.3666666666667,86.01802352048303,360.68333333333334,372.01,377.67333333333335
1,194.0,1,37.55,37.55,,37.55,37.55,37.55
1,195.0,2,205.66666666666666,0.5,473.0913935664722,47.5,339.75,616.5
1,755.0,0,57.20333333333333,32.5,70.60672588883259,94.5,133.34999999999997,152.1
1004,2.0,0,64.93757343427392,55.0,43.57712542652538,83.46666666666667,103.0,117.98333333333333
1004,3.0,13,54.90193765796125,56.0,34.77909553478869,74.0,84.0,92.73
1004,4.0,4,80.14222222222223,46.5,219.63033056062892,59.75,65.5275,89.63166666666669
1004,5.0,3,183.0,159.0,141.6202164745052,238.75,338.85,369.7
1004,6.0,14,478.76762820512823,219.5,546.3987231164073,1191.5,1270.6,1369.495
1004,7.0,1,338.0,338.0,,338.0,338.0,338.0
1004,8.0,2,99.36666666666667,99.36666666666667,53.22157039730748,118.18333333333334,125.71,129.47333333333333
1004,9.0,1,0.0,0.0,,0.0,0.0,0.0
1004,10.0,2,251.0,251.0,15.556349186104045,256.5,258.7,259.8
1004,11.0,0,37.5,0.0,63.63961030678928,60.0,60.0,95.99999999999997
1004,12.0,0,95.21665564061368,87.0,51.44023466827541,120.0,141.0,155.0
1004,13.0,3,76.5,66.0,82.34500592021352,148.0,159.75,163.5
1004,14.0,3,90.53888888888889,72.0,50.43891097893313,74.94999999999999,104.94999999999999,134.3
1004,16.0,2,18.009629629629632,0.0,51.92048899894926,12.0,37.399999999999984,49.20000000000001
1004,21.0,3,686.5,653.0,794.5873142707477,1339.5,1379.7,1399.8
1004,25.0,1,90.3875,88.69166666666666,40.21500865717047,104.29166666666666,119.04166666666666,126.41666666666667
1004,26.0,1,449.0,449.0,,449.0,449.0,449.0
1004,31.0,1,153.0,153.0,188.09040379562165,219.5,246.1,259.4
1004,32.0,2,39.6779,39.6779,54.195633558617985,58.83895,66.50337,70.33558000000001
1004,67.0,1,106.01666666666667,106.01666666666667,,106.01666666666667,106.01666666666667,106.01666666666667
1004,69.0,2,61.0,61.0,29.698484809834994,71.5,75.7,77.8
1004,70.0,1,48.0,48.0,,48.0,48.0,48.0
1004,71.0,1,258.0,258.0,,258.0,258.0,258.0
1004,79.0,1,0.0,0.0,0.0,0.0,0.0,0.0
1004,80.0,1,0.0,0.0,,0.0,0.0,0.0
1004,81.0,1,425.0,425.0,,425.0,425.0,425.0
1004,84.0,3,79.79166666666667,88.0,68.74281356379491,133.2375,147.5125,151.375
1004,85.0,3,70.33333333333333,71.0,70.00238091188994,105.5,119.3,126.2
1004,123.0,1,495.6666666666667,471.0,58.07179464536405,516.5,534.7,543.8
1004,129.0,1,0.0,0.0,,0.0,0.0,0.0
1004,162.0,1,0.0,0.0,,0.0,0.0,0.0
1004,195.0,1,13.4,8.0,14.724129855444769,26.0,28.4,29.6
1004,244.0,1,121.0,121.0,,121.0,121.0,121.0
1004,359.0,1,106.0,106.0,,106.0,106.0,106.0
126,2.0,0,44.61560238399319,36.0,38.05429557949299,52.0,65.0,73.0
126,3.0,8,66.65772906127037,62.61666666666667,34.6558454196192,83.0,98.0,108.0
126,4.0,3,57.36666666666667,47.333333333333336,38.48137149818015,57.0,67.985,111.5933333333333
126,5.0,1,72.5,72.5,12.020815280171307,76.75,78.45,79.3
126,6.0,12,559.5948123620309,329.0,489.17994671803257,1135.0,1278.5,1346.0
126,8.0,1,81.0,81.0,,81.0,81.0,81.0
