"city","name","data"
78,ANTIOQUIA-PEQUE,"{""city_code"": 543, ""city_name"": ""PEQUE"", ""department_code"": 5, ""department_name"": ""ANTIOQUIA""}"
80,ANTIOQUIA-PUERTO BERRIO,"{""city_code"": 579, ""city_name"": ""PUERTO BERRIO"", ""department_code"": 5, ""department_name"": ""ANTIOQUIA""}"
81,ANTIOQUIA-PUERTO NARE,"{""city_code"": 585, ""city_name"": ""PUERTO NARE"", ""department_code"": 5, ""department_name"": ""ANTIOQUIA""}"
82,ANTIOQUIA-PUERTO TRIUNFO,"{""city_code"": 591, ""city_name"": ""PUERTO TRIUNFO"", ""department_code"": 5, ""department_name"": ""ANTIOQUIA""}"
83,ANTIOQUIA-REMEDIOS,"{""city_code"": 604, ""city_name"": ""REMEDIOS"", ""department_code"": 5, ""department_name"": ""ANTIOQUIA""}"
84,ANTIOQUIA-RETIRO,"{""city_code"": 607, ""city_name"": ""RETIRO"", ""department_code"": 5, ""department_name"": ""ANTIOQUIA""}"
86,ANTIOQUIA-SABANALARGA,"{""city_code"": 628, ""city_name"": ""SABANALARGA"", ""department_code"": 5, ""department_name"": ""ANTIOQUIA""}"
88,ANTIOQUIA-SALGAR,"{""city_code"": 642, ""city_name"": ""SALGAR"", ""department_code"": 5, ""department_name"": ""ANTIOQUIA""}"
89,ANTIOQUIA-SAN ANDRES DE CUERQUIA,"{""city_code"": 647, ""city_name"": ""SAN ANDRES DE CUERQUIA"", ""department_code"": 5, ""department_name"": ""ANTIOQUIA""}"
90,ANTIOQUIA-SAN CARLOS,"{""city_code"": 649, ""city_name"": ""SAN CARLOS"", ""department_code"": 5, ""department_name"": ""ANTIOQUIA""}"
91,ANTIOQUIA-SAN FRANCISCO,"{""city_code"": 652, ""city_name"": ""SAN FRANCISCO"", ""department_code"": 5, ""department_name"": ""ANTIOQUIA""}"
92,ANTIOQUIA-SAN JERONIMO,"{""city_code"": 656, ""city_name"": ""SAN JERONIMO"", ""department_code"": 5, ""department_name"": ""ANTIOQUIA""}"
93,ANTIOQUIA-SAN JOSE DE LA MONTAÑA,"{""city_code"": 658, ""city_name"": ""SAN JOSE DE LA MONTAÑA"", ""department_code"": 5, ""department_name"": ""ANTIOQUIA""}"
94,ANTIOQUIA-SAN JUAN DE URABA,"{""city_code"": 659, ""city_name"": ""SAN JUAN DE URABA"", ""department_code"": 5, ""department_name"": ""ANTIOQUIA""}"
