instance,distance_method,optimization_variable,city,date,alpha,iteration,objective_value,vt_labors,extra_time,dist
instAD2,haversine,hybrid,830,2026-01-05,0.0,102,1,1,0.0,6.92
instAD2,haversine,hybrid,830,2026-01-05,0.0,110,1,1,0.0,6.92
instAD2,haversine,hybrid,830,2026-01-05,0.0,118,1,1,0.0,6.92
instAD2,haversine,hybrid,830,2026-01-05,0.0,126,1,1,0.0,6.92
instAD2,haversine,hybrid,830,2026-01-05,0.0,134,1,1,0.0,6.92
instAD2,haversine,hybrid,830,2026-01-05,0.0,142,1,1,0.0,6.92
instAD2,haversine,hybrid,830,2026-01-05,0.0,150,1,1,0.0,6.92
instAD2,haversine,hybrid,1004,2026-01-05,0.0,52,26,26,663.2,120.81
instAD2,haversine,hybrid,1004,2026-01-05,0.0,105,26,26,663.2,120.81
instAD2,haversine,hybrid,1004,2026-01-05,0.0,157,26,26,663.2,120.81
instAD2,haversine,hybrid,1004,2026-01-05,0.0,210,26,26,663.2,120.81
instAD2,haversine,hybrid,1004,2026-01-05,0.0,263,26,26,663.2,120.81
instAD2,haversine,hybrid,1004,2026-01-05,0.0,315,26,26,663.2,120.81
instAD2,haversine,hybrid,1004,2026-01-05,0.0,368,26,26,663.2,120.81
instAD2,haversine,hybrid,1004,2026-01-05,0.0,421,26,26,663.2,120.81
instAD2,haversine,hybrid,1004,2026-01-05,0.0,473,26,26,663.2,120.81
instAD2,haversine,hybrid,1004,2026-01-05,0.0,526,26,26,663.2,120.81
instAD2,haversine,hybrid,1004,2026-01-05,0.0,578,26,26,663.2,120.81
instAD2,haversine,hybrid,1004,2026-01-05,0.0,631,26,26,663.2,120.81
instAD2,haversine,hybrid,1004,2026-01-05,0.0,684,26,26,663.2,120.81
instAD2,haversine,hybrid,1004,2026-01-05,0.0,736,26,26,663.2,120.81
instAD2,haversine,hybrid,1004,2026-01-05,0.0,789,26,26,663.2,120.81
instAD2,haversine,hybrid,1004,2026-01-05,0.0,842,26,26,663.2,120.81
instAD2,haversine,hybrid,1004,2026-01-05,0.0,894,26,26,663.2,120.81
instAD2,haversine,hybrid,1004,2026-01-05,0.0,947,26,26,663.2,120.81
instAD2,haversine,hybrid,1004,2026-01-05,0.0,1000,26,26,663.2,120.81
instAD2,haversine,hybrid,149,2026-01-06,0.0,68,68,68,1457.9,198.43
instAD2,haversine,hybrid,149,2026-01-06,0.0,136,68,68,1457.9,198.43
instAD2,haversine,hybrid,149,2026-01-06,0.0,205,68,68,1457.9,198.43
instAD2,haversine,hybrid,149,2026-01-06,0.0,273,68,68,1457.9,198.43
instAD2,haversine,hybrid,149,2026-01-06,0.0,342,68,68,1457.9,198.43
instAD2,haversine,hybrid,149,2026-01-06,0.0,410,68,68,1457.9,198.43
instAD2,haversine,hybrid,149,2026-01-06,0.0,478,68,68,1457.9,198.43
instAD2,haversine,hybrid,149,2026-01-06,0.0,547,68,68,1457.9,198.43
instAD2,haversine,hybrid,149,2026-01-06,0.0,615,68,68,1457.9,198.43
